table_id,proxy_col,direction,thresh_method,binarize_thresh,n_rows,positive_rate,kept,reason,proxy_quality
z_id_tables_licensed_va-covid-19-summary-2020-05-05,Active,NEGATIVE,otsu,66.57,140.0,0.9357142857142857,False,extreme_pos_rate,
z_id_tables_licensed_va-covid-19-summary-2020-05-06,Active,NEGATIVE,otsu,61.90624999999999,140.0,0.9357142857142857,False,extreme_pos_rate,
z_id_tables_licensed_va-covid-19-summary-2020-05-07,Active,NEGATIVE,otsu,69.37254901960785,140.0,0.9428571428571428,False,extreme_pos_rate,
z_id_tables_licensed_va-covid-19-summary-2020-05-08,Active,NEGATIVE,otsu,60.416666666666664,140.0,0.9285714285714286,False,extreme_pos_rate,
z_id_tables_licensed_va-covid-19-summary-2021-02-23,Active,NEGATIVE,otsu,55.9671052631579,140.0,0.75,False,concept_cap,
z_in_time_tables_licensed_state_wise_2020-05-10,Active,NEGATIVE,otsu,15024.051724137931,38.0,0.9473684210526315,False,extreme_pos_rate,
z_in_time_tables_licensed_state_wise_2020-05-11,Active,NEGATIVE,otsu,16491.0,38.0,0.9473684210526315,False,extreme_pos_rate,
z_in_time_tables_licensed_state_wise_2020-05-11_1,Active,NEGATIVE,otsu,16491.0,38.0,0.9473684210526315,False,extreme_pos_rate,
z_in_time_tables_licensed_state_wise_2020-05-14,Active,NEGATIVE,otsu,20187.428571428572,38.0,0.9736842105263158,False,extreme_pos_rate,
z_lead_time_tables_licensed_hotel_bookings,is_canceled,POSITIVE,otsu,0.25,99.0,0.23232323232323232,True,,0.9646
z_lead_time_tables_licensed_properties_1,active,NEGATIVE,otsu,0.25,912.0,0.09539473684210527,False,concept_cap,
z_lead_time_tables_licensed_test_388,is_canceled,POSITIVE,otsu,0.25,315.0,0.0031746031746031746,False,extreme_pos_rate,
z_object_tables_licensed_django_admin_log_4,action_flag,POSITIVE,otsu,1.9999999999999998,60.0,0.5833333333333334,False,duplicate,
z_organism_tables_licensed_OrganismsLookUp_1,Active,NEGATIVE,otsu,0.25,146.0,0.5,False,duplicate,
z_organism_tables_licensed_VariablesLookUp,Active,NEGATIVE,otsu,0.25,69.0,0.043478260869565216,False,duplicate,
z_parent_tables_licensed_agencies_20,is_active,NEGATIVE,otsu,0.25,74.0,0.581081081081081,True,,1.0
z_parent_tables_licensed_agencies_test,is_active,NEGATIVE,otsu,0.25,74.0,0.581081081081081,False,duplicate,
z_parent_tables_licensed_category-import_20161024-194026_01,is_active,NEGATIVE,otsu,0.25,38.0,0.05263157894736842,True,,0.2892
z_parent_tables_licensed_category-import_20161024-194026_01_2,is_active,NEGATIVE,otsu,0.25,38.0,0.05263157894736842,False,duplicate,
z_parent_tables_licensed_category-import_20161024-194026_01_3,is_active,NEGATIVE,otsu,0.25,39.0,0.05128205128205128,True,,0.2838
z_parent_tables_licensed_category-import_20161024-194026_01_4,is_active,NEGATIVE,otsu,0.25,43.0,0.023255813953488372,False,extreme_pos_rate,
z_parent_tables_licensed_category-import_20161024-194026_01_5,is_active,NEGATIVE,otsu,0.25,114.0,0.05263157894736842,False,concept_cap,
z_parent_tables_licensed_culture500_data_preprocessed,Customer,NEGATIVE,otsu,0.6087499999999999,532.0,0.42857142857142855,True,,0.3766
