fraction,seed,method,metric,value
0.25,2,routed,auc,0.6640335926996705
0.25,2,routed,accuracy,0.9856334349151067
0.25,2,oracle,auc,0.7326050552640658
0.25,2,oracle,accuracy,0.985778551734146
0.25,3,uda,auc,0.4916047994669902
0.25,3,uda,accuracy,0.9856334349151067
0.25,3,uda_cal,auc,0.4916047994669902
0.25,3,uda_cal,accuracy,0.9856334349151067
0.25,3,target_only,auc,0.6753555876789092
0.25,3,target_only,accuracy,0.985343201277028
0.25,3,target_only_cal,auc,0.6753555876789092
0.25,3,target_only_cal,accuracy,0.985343201277028
0.25,3,vla,auc,0.6797963438864499
0.25,3,vla,accuracy,0.985343201277028
0.25,3,vla_st,auc,0.6797963438864499
0.25,3,vla_st,accuracy,0.985343201277028
0.25,3,routed,auc,0.6753555876789092
0.25,3,routed,accuracy,0.985343201277028
0.25,3,oracle,auc,0.7326050552640658
0.25,3,oracle,accuracy,0.985778551734146
0.25,4,uda,auc,0.4916047994669902
0.25,4,uda,accuracy,0.9856334349151067
0.25,4,uda_cal,auc,0.4916047994669902
0.25,4,uda_cal,accuracy,0.9856334349151067
0.25,4,target_only,auc,0.664691675292382
0.25,4,target_only,accuracy,0.9856334349151067
0.25,4,target_only_cal,auc,0.664691675292382
0.25,4,target_only_cal,accuracy,0.9856334349151067
0.25,4,vla,auc,0.6727433344041118
0.25,4,vla,accuracy,0.9856334349151067
0.25,4,vla_st,auc,0.6727433344041118
0.25,4,vla_st,accuracy,0.9856334349151067
0.25,4,routed,auc,0.664691675292382
0.25,4,routed,accuracy,0.9856334349151067
0.25,4,oracle,auc,0.7326050552640658
0.25,4,oracle,accuracy,0.985778551734146
