fraction,seed,method,auc
0.1,2,routed,0.9040648314895805
0.1,2,oracle,0.9153331618214562
0.1,3,uda,0.6974273218420376
0.1,3,target_only,0.9024697710316439
0.1,3,vla,0.8952662721893491
0.1,3,vla_st,0.9029328531000772
0.1,3,routed,0.9024697710316439
0.1,3,oracle,0.9153331618214562
0.1,4,uda,0.6974273218420376
0.1,4,target_only,0.9012091587342423
0.1,4,vla,0.8993568304605094
0.1,4,vla_st,0.9102135322871109
0.1,4,routed,0.9012091587342423
0.1,4,oracle,0.9153331618214562
0.25,0,uda,0.6974273218420376
0.25,0,target_only,0.9158734242346283
0.25,0,vla,0.917468484692565
0.25,0,vla_st,0.9165165937741188
0.25,0,routed,0.9158734242346283
0.25,0,oracle,0.9153331618214562
0.25,1,uda,0.6974273218420376
0.25,1,target_only,0.9113197838950348
0.25,1,vla,0.9105737072292257
0.25,1,vla_st,0.9132235657319269
0.25,1,routed,0.9113197838950348
0.25,1,oracle,0.9153331618214562
0.25,2,uda,0.6974273218420376
0.25,2,target_only,0.9060200668896321
0.25,2,vla,0.9010547980447645
0.25,2,vla_st,0.9035245690764085
0.25,2,routed,0.9060200668896321
0.25,2,oracle,0.9153331618214562
0.25,3,uda,0.6974273218420376
0.25,3,target_only,0.9065860560843838
0.25,3,vla,0.9037818368922048
0.25,3,vla_st,0.9059943401080526
0.25,3,routed,0.9065860560843838
0.25,3,oracle,0.9153331618214562
0.25,4,uda,0.6974273218420376
0.25,4,target_only,0.912194494468742
0.25,4,vla,0.9142011834319527
0.25,4,vla_st,0.9141497298687934
0.25,4,routed,0.912194494468742
0.25,4,oracle,0.9153331618214562
